4.094236643493747908e-10,1.679828675398743790e-08,4.150813521361948934e-08,5.544191953463877071e-08,2.928418442151456598e-08
4.106573898305411036e-10,5.411337686956573963e-11,1.318196930876499583e-10,1.431108635790871988e-10,9.180263934044830870e-11
4.118948329242813378e-10,1.077599875655646300e-10,2.621921986533984868e-10,3.784711392908562498e-10,1.826437675980133117e-10
4.131360048329618567e-10,4.178590383321118453e-11,1.020571775898725371e-10,1.089393802883103951e-10,7.103478376809940621e-11
4.143809167927026456e-10,1.247363590497240227e-10,2.836335639700415309e-10,2.836335639700415309e-10,2.094806507722444046e-10
4.156295800734846901e-10,2.491166366546106889e-10,5.865825372785646157e-10,7.427211268615683580e-10,4.180998175583567623e-10
4.168820059792459290e-10,5.292286928503609779e-11,1.287129284801475309e-10,1.589223105716733953e-10,8.966968812360323354e-11
4.181382058479900801e-10,6.075130822006840588e-11,1.430843351930217560e-10,1.983543473208883826e-10,1.019807087541860994e-10
4.193981910518823351e-10,5.988449405354676199e-11,1.410452257088344315e-10,1.955277335128055275e-10,1.005270171310897395e-10
4.206619729973595292e-10,5.146217983811258000e-11,1.211753563039291078e-10,1.679753698804085541e-10,8.637031380967319379e-11
4.219295631252270768e-10,6.620193756467078844e-11,1.559452812862737924e-10,1.857459104660945190e-10,1.111439480791828800e-10
4.232009729107653154e-10,1.091993906508404838e-10,2.571015428145462504e-10,3.564037028845732045e-10,1.832595115508637250e-10
4.244762138638357471e-10,6.950022682438114288e-11,1.636727283164175093e-10,1.957897798593474032e-10,1.166577450328522516e-10
4.257552975289794211e-10,4.180134164067438943e-11,1.014572347160664334e-10,1.246362148468251900e-10,7.071272291344848221e-11
4.270382354855282930e-10,5.247908497560783096e-11,1.233569863811488573e-10,1.709712416538573401e-10,8.795745903603657508e-11
4.283250393477030906e-10,6.995587193172527966e-11,1.647097005454365632e-10,2.283255735257492492e-10,1.174020866204355866e-10
4.296157207647254485e-10,1.182213243130014684e-10,2.784249099807429871e-10,3.516839181296406770e-10,1.984449471763518382e-10
4.309102914209162392e-10,5.725401687528596765e-11,1.393570121104489081e-10,2.011674992180128845e-10,9.706876159356060874e-11
